day,ref_total,generic_total,diff_total,ref_0,generic_0,ref_1-4,generic_1-4,ref_5-12,generic_5-12,ref_13-17,generic_13-17,ref_18-49,generic_18-49,ref_50-64,generic_50-64,ref_65+,generic_65+
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7751073246082295,0.604137922714395,-0.17096940189383447,0.0040679159952170755,0.0031970479071959427,0.01714503255504227,0.01347364907236209,0.009077639175483493,0.007141111097235359,0.004465174594774546,0.0035129841500814757,0.04615167197169394,0.03630595148668783,0.059196404341690434,0.04654103457094225,0.6350034859743278,0.4939661444298901
2,0.9045502478178038,0.7963971344854843,-0.10815311333231947,0.004747257966418328,0.00422832349796071,0.020008252991734327,0.01781933700274429,0.010593604917789236,0.009448462486000014,0.005210858752101895,0.004648262958764295,0.053859001190966815,0.04803658386704453,0.06908220386675273,0.061563629588162284,0.7410490681320405,0.6506525350848082
3,0.8627940081019122,0.8293886008741049,-0.03340540722780727,0.0045028087211525505,0.0044013233915766075,0.019614049964394354,0.018941249786654395,0.011216202251664786,0.010561986262951161,0.005512970349710242,0.005193699897589959,0.054216157131849345,0.05195927679102301,0.0679840003811523,0.06561365395249667,0.6997478193019886,0.6727174107918131
4,0.7842008433650212,0.8045069131776661,0.020306069812644933,0.004055680455623448,0.004253949066377157,0.018600690988831374,0.018982839560205175,0.011818202938926803,0.011455366153671293,0.00580342180720861,0.0056290737453929115,0.0534307957743442,0.053568926535040466,0.06484518868757645,0.06603995697468441,0.6256468627125102,0.6445768011422947
5,0.7068292522237292,0.762155381870346,0.05532612964661687,0.0036225029544578163,0.0040094261047520325,0.01761165591412524,0.018717883129935727,0.012417039501170438,0.012334439275276773,0.006092733910200443,0.006056833879309619,0.052544474579541034,0.05453387026256036,0.061655795199381594,0.06538705812376437,0.5528850501648526,0.6011158710947472
6,0.6398525857598198,0.717862302792034,0.07800971703221415,0.003258926380518572,0.003758117719452838,0.016775530521213965,0.018414433317061267,0.012957790987421749,0.013208102642864419,0.006354683922871215,0.006482190529062579,0.05161926985739911,0.05528168828966585,0.05875179927163792,0.06447607247800527,0.49013458481875727,0.5562416978159218
7,0.5708779649219192,0.6666215774492501,0.09574361252733088,0.0029794585271878506,0.0035428424262808973,0.015329595431978909,0.01755069780270342,0.011869703140059801,0.01283788313713835,0.005807985560255592,0.006289756273046169,0.04746634608250205,0.05332398480942552,0.05363525717968721,0.061514354666061644,0.4337896190002478,0.5115620583345941
8,0.5131677503322454,0.6201803952131413,0.1070126448808959,0.0027867033276089107,0.0033871776432672484,0.013974888860233094,0.016626118449399076,0.01045362954876918,0.012018642986193288,0.005097803131651978,0.005873488781059831,0.0430755793682597,0.050652651751595855,0.0487494877569985,0.058239464667035175,0.38902965833872405,0.4733828509345908
9,0.48273890106599415,0.5956387383674399,0.1128998373014457,0.00264720354837074,0.0032844653509316447,0.013705129177983692,0.016567440969508976,0.010856434000517034,0.012585857444468952,0.005292495125564297,0.006146302969653664,0.04265136804234477,0.05110609597077684,0.04737647995938566,0.05775169859329662,0.36020979121182795,0.4481968770688032
10,0.4598176996875843,0.5801868038011501,0.12036910411356577,0.0025144730159600307,0.003200963901994754,0.013610192779189558,0.016788864825723653,0.011534074853498296,0.013578400268925555,0.005625402236367429,0.006631405109701367,0.04289823720135485,0.05254471324431842,0.046672058994875504,0.058194674610227884,0.33696326060633863,0.4292477818402584
11,0.44255206072818476,0.5708815684670274,0.12832950773884266,0.002406410223713139,0.0031409065511217964,0.01361181298671393,0.017158694892260427,0.012253539059121075,0.014728036770641382,0.0059790268192471945,0.007194702520691015,0.04332696826453093,0.05436864167593136,0.04626830417735469,0.05908015885955324,0.31870599919750375,0.41521042719682816
12,0.43165741219301346,0.5681317878937147,0.1364743757007012,0.002337064261995596,0.003116548114237056,0.01375118404836293,0.01769310327720086,0.013027086945222179,0.01600610307472091,0.006358499361734882,0.007820988644654017,0.044001059669100125,0.05654837014621421,0.04624875293744323,0.06041837943392895,0.3059337649691545,0.4065282952027587
13,0.4267464280521255,0.5720242303592479,0.1452778023071224,0.0023066736123522245,0.0031327336100332825,0.014033038083493064,0.018406287823727125,0.013865463427938794,0.01741755177011883,0.00676881619468349,0.00851213572070996,0.0449423507607808,0.05910442366470942,0.04662086089485028,0.06223520233656801,0.29820922507802683,0.40321589543338127
14,0.4104890747462992,0.5657832406890344,0.1552941659427352,0.002307908342495266,0.00318687021151949,0.01347346610084142,0.018346956869352775,0.012773590707446044,0.017025979301392193,0.006221039845231724,0.00830685037140561,0.04264846193308223,0.058524272241464094,0.04454635836594114,0.06169965782942378,0.28851824945126137,0.3986926538644765
15,0.39545900972848885,0.5594056619350628,0.16394665220657395,0.0023394588543195535,0.003280683246935723,0.01281371669795593,0.018085240404677995,0.011271820205674828,0.01596811491617742,0.005468791708040288,0.007768919713074877,0.03990532702630833,0.05700738617764982,0.042252434409136494,0.06058324263759142,0.2814074608270534,0.39671207483895554
16,0.3983348485698492,0.5721988646345578,0.17386401606470864,0.00236414752103702,0.003388134902731386,0.01316234594845123,0.018832774955231092,0.011890601304217166,0.01689941660499374,0.005767391814016996,0.008216856350355125,0.04083002231820373,0.05911667837707168,0.04292228259909831,0.062463205988120114,0.28139805706482474,0.4032817974560547
17,0.40382263911763944,0.5919128906042717,0.18809025148663222,0.0023648285513911587,0.003488857520194682,0.013643098980162001,0.019910868720976006,0.012894970940446305,0.01852379125587762,0.006258046526519132,0.00900845986182523,0.0424564879508427,0.06255388170759477,0.0441337112907897,0.06544295923753336,0.28207149487748845,0.41298407230027
18,0.41220466708730885,0.6166647471227341,0.20446008003542526,0.0023748015419533816,0.0036001664720337703,0.014219774514349836,0.021188481540082203,0.014031501189354433,0.02048018576519756,0.006813127689316884,0.009963252904121674,0.0444041749640892,0.06669888097788462,0.045663385766060265,0.06906607282836798,0.2846979014221849,0.42566770663504633
19,0.4242520977003747,0.6469035096642413,0.22265141196386656,0.002410654745081701,0.0037393417026130157,0.014919248341700093,0.022670092245925595,0.015271276497844368,0.022688091345813722,0.007417719482122017,0.011040314369217027,0.04664033555482143,0.07143177872696588,0.04752106034657871,0.07327775938187522,0.2900718027322264,0.44205613189183085
20,0.4426813143520625,0.6861590029843068,0.24347768863224428,0.002490610288170175,0.00393298786852005,0.01584701730531775,0.02448882414471019,0.01672275957975554,0.025265142253844974,0.008124370408357893,0.012296253892488623,0.04946218044584035,0.07710079958351156,0.05000767826808758,0.0784473205354617,0.3000266980565332,0.46462767470576966
21,0.4506428924800263,0.7154327020037509,0.26478980952372455,0.0026441339958616808,0.004225472242312742,0.015829836981524785,0.025304879932419266,0.015719660343545463,0.025115620339917148,0.007616860469640892,0.01219948752264293,0.04884394202177104,0.07895750501880924,0.05002429110593314,0.08095230710577983,0.30996416756174927,0.48867742984186974
22,0.4587069438184129,0.7445275617140428,0.28582061789562985,0.002834379376475512,0.004585306505125149,0.015661072144876706,0.025837138435472914,0.014160793604911055,0.02394048069323264,0.006833439428997115,0.01159207439370461,0.047657775281719265,0.07966735550658897,0.049721072781234714,0.08279318726891083,0.32183841120019857,0.5161120189110077
23,0.48629939479277823,0.8001488751550065,0.3138494803622283,0.002985310909420349,0.004937616026488958,0.016791922758074077,0.02797329861444561,0.015588206212339098,0.02618847965417131,0.0075240857979103366,0.012675095309812036,0.05106685771678998,0.08598406008442074,0.05298909952296979,0.08912399007036727,0.3393539118752746,0.5532663353953006
