"","date","daily_vaccines"
"1","2023-07-31","[[0.039602, 0.039602],[0.055846, 0.055846],[0.025378, 0.025378],[0.005216, 0.005216],[0.016904, 0.016904]]"
"2","2023-08-01","[[0.00132, 0.00132],[0.001541, 0.001541],[0.000611, 0.000611],[0.000287, 0.000287],[0.000762, 0.000762]]"
"3","2023-08-02","[[0.001361, 0.001361],[0.001579, 0.001579],[0.000625, 0.000625],[0.000303, 0.000303],[0.000795, 0.000795]]"
"4","2023-08-03","[[0.001404, 0.001404],[0.001618, 0.001618],[0.000639, 0.000639],[0.000319, 0.000319],[0.00083, 0.00083]]"
"5","2023-08-04","[[0.001448, 0.001448],[0.001658, 0.001658],[0.000653, 0.000653],[0.000336, 0.000336],[0.000867, 0.000867]]"
"6","2023-08-05","[[0.001492, 0.001492],[0.001699, 0.001699],[0.000668, 0.000668],[0.000354, 0.000354],[0.000905, 0.000905]]"
"7","2023-08-06","[[0.001538, 0.001538],[0.001741, 0.001741],[0.000682, 0.000682],[0.000374, 0.000374],[0.000944, 0.000944]]"
"8","2023-08-07","[[0.001586, 0.001586],[0.001783, 0.001783],[0.000698, 0.000698],[0.000394, 0.000394],[0.000985, 0.000985]]"
"9","2023-08-08","[[0.001634, 0.001634],[0.001826, 0.001826],[0.000713, 0.000713],[0.000415, 0.000415],[0.001028, 0.001028]]"
"10","2023-08-09","[[0.001684, 0.001684],[0.001869, 0.001869],[0.000729, 0.000729],[0.000437, 0.000437],[0.001073, 0.001073]]"
"11","2023-08-10","[[0.001735, 0.001735],[0.001914, 0.001914],[0.000744, 0.000744],[0.000461, 0.000461],[0.001119, 0.001119]]"
"12","2023-08-11","[[0.001787, 0.001787],[0.001959, 0.001959],[0.000761, 0.000761],[0.000485, 0.000485],[0.001167, 0.001167]]"
"13","2023-08-12","[[0.001841, 0.001841],[0.002005, 0.002005],[0.000777, 0.000777],[0.000511, 0.000511],[0.001218, 0.001218]]"
"14","2023-08-13","[[0.001895, 0.001895],[0.002052, 0.002052],[0.000794, 0.000794],[0.000538, 0.000538],[0.00127, 0.00127]]"
"15","2023-08-14","[[0.001951, 0.001951],[0.002099, 0.002099],[0.000811, 0.000811],[0.000567, 0.000567],[0.001324, 0.001324]]"
"16","2023-08-15","[[0.002009, 0.002009],[0.002147, 0.002147],[0.000828, 0.000828],[0.000597, 0.000597],[0.00138, 0.00138]]"
"17","2023-08-16","[[0.002067, 0.002067],[0.002195, 0.002195],[0.000846, 0.000846],[0.000629, 0.000629],[0.001439, 0.001439]]"
"18","2023-08-17","[[0.002127, 0.002127],[0.002245, 0.002245],[0.000864, 0.000864],[0.000662, 0.000662],[0.0015, 0.0015]]"
"19","2023-08-18","[[0.002189, 0.002189],[0.002295, 0.002295],[0.000882, 0.000882],[0.000697, 0.000697],[0.001563, 0.001563]]"
"20","2023-08-19","[[0.002251, 0.002251],[0.002345, 0.002345],[0.0009, 0.0009],[0.000733, 0.000733],[0.001629, 0.001629]]"
"21","2023-08-20","[[0.002315, 0.002315],[0.002397, 0.002397],[0.000919, 0.000919],[0.000771, 0.000771],[0.001697, 0.001697]]"
"22","2023-08-21","[[0.002381, 0.002381],[0.002449, 0.002449],[0.000938, 0.000938],[0.000812, 0.000812],[0.001767, 0.001767]]"
"23","2023-08-22","[[0.002447, 0.002447],[0.002501, 0.002501],[0.000958, 0.000958],[0.000854, 0.000854],[0.00184, 0.00184]]"
"24","2023-08-23","[[0.002515, 0.002515],[0.002554, 0.002554],[0.000977, 0.000977],[0.000898, 0.000898],[0.001916, 0.001916]]"
"25","2023-08-24","[[0.002584, 0.002584],[0.002608, 0.002608],[0.000997, 0.000997],[0.000944, 0.000944],[0.001995, 0.001995]]"
"26","2023-08-25","[[0.002655, 0.002655],[0.002662, 0.002662],[0.001017, 0.001017],[0.000992, 0.000992],[0.002076, 0.002076]]"
"27","2023-08-26","[[0.002727, 0.002727],[0.002717, 0.002717],[0.001038, 0.001038],[0.001043, 0.001043],[0.00216, 0.00216]]"
"28","2023-08-27","[[0.0028, 0.0028],[0.002772, 0.002772],[0.001059, 0.001059],[0.001095, 0.001095],[0.002247, 0.002247]]"
"29","2023-08-28","[[0.002874, 0.002874],[0.002827, 0.002827],[0.00108, 0.00108],[0.001151, 0.001151],[0.002337, 0.002337]]"
"30","2023-08-29","[[0.002949, 0.002949],[0.002883, 0.002883],[0.001101, 0.001101],[0.001208, 0.001208],[0.00243, 0.00243]]"
"31","2023-08-30","[[0.003026, 0.003026],[0.002939, 0.002939],[0.001123, 0.001123],[0.001269, 0.001269],[0.002526, 0.002526]]"
"32","2023-08-31","[[0.003104, 0.003104],[0.002996, 0.002996],[0.001145, 0.001145],[0.001331, 0.001331],[0.002625, 0.002625]]"
"33","2023-09-01","[[0.003182, 0.003182],[0.003053, 0.003053],[0.001167, 0.001167],[0.001397, 0.001397],[0.002728, 0.002728]]"
"34","2023-09-02","[[0.003262, 0.003262],[0.00311, 0.00311],[0.001189, 0.001189],[0.001465, 0.001465],[0.002833, 0.002833]]"
"35","2023-09-03","[[0.003343, 0.003343],[0.003167, 0.003167],[0.001212, 0.001212],[0.001536, 0.001536],[0.002942, 0.002942]]"
"36","2023-09-04","[[0.003425, 0.003425],[0.003225, 0.003225],[0.001235, 0.001235],[0.00161, 0.00161],[0.003054, 0.003054]]"
"37","2023-09-05","[[0.003508, 0.003508],[0.003283, 0.003283],[0.001258, 0.001258],[0.001687, 0.001687],[0.003169, 0.003169]]"
"38","2023-09-06","[[0.003592, 0.003592],[0.00334, 0.00334],[0.001282, 0.001282],[0.001767, 0.001767],[0.003287, 0.003287]]"
