"","date","daily_vaccines"
"1","2024-07-31","[[0.080515, 0.080515],[0.05945, 0.05945],[0.01672, 0.01672],[0.007636, 0.007636],[0.044686, 0.044686]]"
"2","2024-08-01","[[0.002052, 0.002052],[0.00167, 0.00167],[0.000592, 0.000592],[0.00038, 0.00038],[0.001216, 0.001216]]"
"3","2024-08-02","[[0.002099, 0.002099],[0.001713, 0.001713],[0.000611, 0.000611],[0.000398, 0.000398],[0.001247, 0.001247]]"
"4","2024-08-03","[[0.002147, 0.002147],[0.001756, 0.001756],[0.000632, 0.000632],[0.000418, 0.000418],[0.001279, 0.001279]]"
"5","2024-08-04","[[0.002195, 0.002195],[0.0018, 0.0018],[0.000653, 0.000653],[0.000438, 0.000438],[0.001311, 0.001311]]"
"6","2024-08-05","[[0.002245, 0.002245],[0.001845, 0.001845],[0.000674, 0.000674],[0.000459, 0.000459],[0.001344, 0.001344]]"
"7","2024-08-06","[[0.002295, 0.002295],[0.001891, 0.001891],[0.000696, 0.000696],[0.000481, 0.000481],[0.001378, 0.001378]]"
"8","2024-08-07","[[0.002346, 0.002346],[0.001937, 0.001937],[0.000719, 0.000719],[0.000504, 0.000504],[0.001412, 0.001412]]"
"9","2024-08-08","[[0.002398, 0.002398],[0.001985, 0.001985],[0.000742, 0.000742],[0.000528, 0.000528],[0.001447, 0.001447]]"
"10","2024-08-09","[[0.002451, 0.002451],[0.002033, 0.002033],[0.000766, 0.000766],[0.000554, 0.000554],[0.001483, 0.001483]]"
"11","2024-08-10","[[0.002504, 0.002504],[0.002082, 0.002082],[0.000791, 0.000791],[0.00058, 0.00058],[0.001519, 0.001519]]"
"12","2024-08-11","[[0.002558, 0.002558],[0.002132, 0.002132],[0.000816, 0.000816],[0.000608, 0.000608],[0.001557, 0.001557]]"
"13","2024-08-12","[[0.002613, 0.002613],[0.002183, 0.002183],[0.000842, 0.000842],[0.000636, 0.000636],[0.001594, 0.001594]]"
"14","2024-08-13","[[0.002669, 0.002669],[0.002234, 0.002234],[0.000869, 0.000869],[0.000666, 0.000666],[0.001633, 0.001633]]"
"15","2024-08-14","[[0.002726, 0.002726],[0.002286, 0.002286],[0.000896, 0.000896],[0.000698, 0.000698],[0.001672, 0.001672]]"
"16","2024-08-15","[[0.002783, 0.002783],[0.002339, 0.002339],[0.000924, 0.000924],[0.00073, 0.00073],[0.001713, 0.001713]]"
"17","2024-08-16","[[0.002841, 0.002841],[0.002393, 0.002393],[0.000953, 0.000953],[0.000764, 0.000764],[0.001753, 0.001753]]"
"18","2024-08-17","[[0.0029, 0.0029],[0.002448, 0.002448],[0.000982, 0.000982],[0.0008, 0.0008],[0.001795, 0.001795]]"
"19","2024-08-18","[[0.002959, 0.002959],[0.002503, 0.002503],[0.001012, 0.001012],[0.000837, 0.000837],[0.001837, 0.001837]]"
"20","2024-08-19","[[0.003019, 0.003019],[0.002559, 0.002559],[0.001042, 0.001042],[0.000875, 0.000875],[0.00188, 0.00188]]"
"21","2024-08-20","[[0.00308, 0.00308],[0.002616, 0.002616],[0.001074, 0.001074],[0.000915, 0.000915],[0.001924, 0.001924]]"
"22","2024-08-21","[[0.003141, 0.003141],[0.002673, 0.002673],[0.001106, 0.001106],[0.000957, 0.000957],[0.001969, 0.001969]]"
"23","2024-08-22","[[0.003203, 0.003203],[0.002731, 0.002731],[0.001138, 0.001138],[0.001, 0.001],[0.002014, 0.002014]]"
"24","2024-08-23","[[0.003266, 0.003266],[0.002789, 0.002789],[0.001172, 0.001172],[0.001045, 0.001045],[0.00206, 0.00206]]"
"25","2024-08-24","[[0.003329, 0.003329],[0.002849, 0.002849],[0.001206, 0.001206],[0.001092, 0.001092],[0.002107, 0.002107]]"
"26","2024-08-25","[[0.003393, 0.003393],[0.002908, 0.002908],[0.00124, 0.00124],[0.001141, 0.001141],[0.002154, 0.002154]]"
"27","2024-08-26","[[0.003457, 0.003457],[0.002969, 0.002969],[0.001276, 0.001276],[0.001191, 0.001191],[0.002202, 0.002202]]"
"28","2024-08-27","[[0.003522, 0.003522],[0.003029, 0.003029],[0.001312, 0.001312],[0.001243, 0.001243],[0.002251, 0.002251]]"
"29","2024-08-28","[[0.003587, 0.003587],[0.00309, 0.00309],[0.001348, 0.001348],[0.001297, 0.001297],[0.002301, 0.002301]]"
"30","2024-08-29","[[0.003653, 0.003653],[0.003152, 0.003152],[0.001385, 0.001385],[0.001353, 0.001353],[0.002351, 0.002351]]"
"31","2024-08-30","[[0.003719, 0.003719],[0.003214, 0.003214],[0.001423, 0.001423],[0.001411, 0.001411],[0.002402, 0.002402]]"
"32","2024-08-31","[[0.003786, 0.003786],[0.003276, 0.003276],[0.001461, 0.001461],[0.001471, 0.001471],[0.002454, 0.002454]]"
"33","2024-09-01","[[0.003852, 0.003852],[0.003339, 0.003339],[0.0015, 0.0015],[0.001533, 0.001533],[0.002506, 0.002506]]"
"34","2024-09-02","[[0.003919, 0.003919],[0.003402, 0.003402],[0.00154, 0.00154],[0.001597, 0.001597],[0.002559, 0.002559]]"
"35","2024-09-03","[[0.003987, 0.003987],[0.003465, 0.003465],[0.00158, 0.00158],[0.001662, 0.001662],[0.002612, 0.002612]]"
"36","2024-09-04","[[0.004054, 0.004054],[0.003528, 0.003528],[0.00162, 0.00162],[0.00173, 0.00173],[0.002666, 0.002666]]"
"37","2024-09-05","[[0.004122, 0.004122],[0.003591, 0.003591],[0.001661, 0.001661],[0.0018, 0.0018],[0.002721, 0.002721]]"
"38","2024-09-06","[[0.004189, 0.004189],[0.003654, 0.003654],[0.001702, 0.001702],[0.001872, 0.001872],[0.002776, 0.002776]]"
"39","2024-09-07","[[0.004257, 0.004257],[0.003718, 0.003718],[0.001743, 0.001743],[0.001945, 0.001945],[0.002832, 0.002832]]"
"40","2024-09-08","[[0.004325, 0.004325],[0.003781, 0.003781],[0.001785, 0.001785],[0.002021, 0.002021],[0.002888, 0.002888]]"
"41","2024-09-09","[[0.004392, 0.004392],[0.003844, 0.003844],[0.001827, 0.001827],[0.002098, 0.002098],[0.002945, 0.002945]]"
"42","2024-09-10","[[0.00446, 0.00446],[0.003907, 0.003907],[0.00187, 0.00187],[0.002177, 0.002177],[0.003002, 0.003002]]"
"43","2024-09-11","[[0.004527, 0.004527],[0.003969, 0.003969],[0.001912, 0.001912],[0.002258, 0.002258],[0.003059, 0.003059]]"
"44","2024-09-12","[[0.004594, 0.004594],[0.004031, 0.004031],[0.001955, 0.001955],[0.002341, 0.002341],[0.003117, 0.003117]]"
"45","2024-09-13","[[0.004661, 0.004661],[0.004093, 0.004093],[0.001998, 0.001998],[0.002425, 0.002425],[0.003176, 0.003176]]"
"46","2024-09-14","[[0.004728, 0.004728],[0.004154, 0.004154],[0.002041, 0.002041],[0.002511, 0.002511],[0.003234, 0.003234]]"
"47","2024-09-15","[[0.004794, 0.004794],[0.004215, 0.004215],[0.002084, 0.002084],[0.002598, 0.002598],[0.003293, 0.003293]]"
"48","2024-09-16","[[0.004859, 0.004859],[0.004275, 0.004275],[0.002127, 0.002127],[0.002686, 0.002686],[0.003353, 0.003353]]"
"49","2024-09-17","[[0.004924, 0.004924],[0.004335, 0.004335],[0.002169, 0.002169],[0.002776, 0.002776],[0.003412, 0.003412]]"
"50","2024-09-18","[[0.004989, 0.004989],[0.004393, 0.004393],[0.002212, 0.002212],[0.002866, 0.002866],[0.003472, 0.003472]]"
"51","2024-09-19","[[0.005053, 0.005053],[0.004451, 0.004451],[0.002254, 0.002254],[0.002958, 0.002958],[0.003531, 0.003531]]"
"52","2024-09-20","[[0.005116, 0.005116],[0.004508, 0.004508],[0.002296, 0.002296],[0.00305, 0.00305],[0.003591, 0.003591]]"
"53","2024-09-21","[[0.005178, 0.005178],[0.004564, 0.004564],[0.002337, 0.002337],[0.003142, 0.003142],[0.003651, 0.003651]]"
"54","2024-09-22","[[0.00524, 0.00524],[0.004618, 0.004618],[0.002378, 0.002378],[0.003235, 0.003235],[0.003711, 0.003711]]"
"55","2024-09-23","[[0.0053, 0.0053],[0.004672, 0.004672],[0.002418, 0.002418],[0.003327, 0.003327],[0.00377, 0.00377]]"
"56","2024-09-24","[[0.00536, 0.00536],[0.004724, 0.004724],[0.002458, 0.002458],[0.003419, 0.003419],[0.00383, 0.00383]]"
"57","2024-09-25","[[0.005418, 0.005418],[0.004775, 0.004775],[0.002497, 0.002497],[0.003511, 0.003511],[0.003889, 0.003889]]"
"58","2024-09-26","[[0.005476, 0.005476],[0.004825, 0.004825],[0.002535, 0.002535],[0.003602, 0.003602],[0.003949, 0.003949]]"
"59","2024-09-27","[[0.005532, 0.005532],[0.004873, 0.004873],[0.002573, 0.002573],[0.003693, 0.003693],[0.004007, 0.004007]]"
"60","2024-09-28","[[0.005587, 0.005587],[0.00492, 0.00492],[0.002609, 0.002609],[0.003782, 0.003782],[0.004066, 0.004066]]"
"61","2024-09-29","[[0.00564, 0.00564],[0.004965, 0.004965],[0.002645, 0.002645],[0.003869, 0.003869],[0.004124, 0.004124]]"
"62","2024-09-30","[[0.005692, 0.005692],[0.005008, 0.005008],[0.002679, 0.002679],[0.003954, 0.003954],[0.004182, 0.004182]]"
"63","2024-10-01","[[0.005743, 0.005743],[0.00505, 0.00505],[0.002712, 0.002712],[0.004038, 0.004038],[0.004239, 0.004239]]"
"64","2024-10-02","[[0.005792, 0.005792],[0.005089, 0.005089],[0.002744, 0.002744],[0.004119, 0.004119],[0.004296, 0.004296]]"
"65","2024-10-03","[[0.005839, 0.005839],[0.005127, 0.005127],[0.002775, 0.002775],[0.004197, 0.004197],[0.004352, 0.004352]]"
"66","2024-10-04","[[0.005885, 0.005885],[0.005163, 0.005163],[0.002804, 0.002804],[0.004272, 0.004272],[0.004407, 0.004407]]"
"67","2024-10-05","[[0.005929, 0.005929],[0.005197, 0.005197],[0.002832, 0.002832],[0.004344, 0.004344],[0.004461, 0.004461]]"
"68","2024-10-06","[[0.005972, 0.005972],[0.005229, 0.005229],[0.002858, 0.002858],[0.004412, 0.004412],[0.004515, 0.004515]]"
"69","2024-10-07","[[0.006012, 0.006012],[0.005259, 0.005259],[0.002883, 0.002883],[0.004476, 0.004476],[0.004568, 0.004568]]"
"70","2024-10-08","[[0.006051, 0.006051],[0.005286, 0.005286],[0.002906, 0.002906],[0.004536, 0.004536],[0.00462, 0.00462]]"
"71","2024-10-09","[[0.006087, 0.006087],[0.005312, 0.005312],[0.002927, 0.002927],[0.004592, 0.004592],[0.00467, 0.00467]]"
"72","2024-10-10","[[0.006122, 0.006122],[0.005335, 0.005335],[0.002947, 0.002947],[0.004643, 0.004643],[0.00472, 0.00472]]"
"73","2024-10-11","[[0.006155, 0.006155],[0.005356, 0.005356],[0.002965, 0.002965],[0.004689, 0.004689],[0.004768, 0.004768]]"
"74","2024-10-12","[[0.006185, 0.006185],[0.005374, 0.005374],[0.002981, 0.002981],[0.004729, 0.004729],[0.004816, 0.004816]]"
"75","2024-10-13","[[0.006213, 0.006213],[0.00539, 0.00539],[0.002995, 0.002995],[0.004765, 0.004765],[0.004862, 0.004862]]"
"76","2024-10-14","[[0.00624, 0.00624],[0.005404, 0.005404],[0.003007, 0.003007],[0.004795, 0.004795],[0.004906, 0.004906]]"
"77","2024-10-15","[[0.006263, 0.006263],[0.005415, 0.005415],[0.003018, 0.003018],[0.004819, 0.004819],[0.00495, 0.00495]]"
"78","2024-10-16","[[0.006285, 0.006285],[0.005424, 0.005424],[0.003026, 0.003026],[0.004838, 0.004838],[0.004991, 0.004991]]"
"79","2024-10-17","[[0.006304, 0.006304],[0.00543, 0.00543],[0.003032, 0.003032],[0.00485, 0.00485],[0.005032, 0.005032]]"
"80","2024-10-18","[[0.006321, 0.006321],[0.005434, 0.005434],[0.003036, 0.003036],[0.004857, 0.004857],[0.00507, 0.00507]]"
"81","2024-10-19","[[0.006336, 0.006336],[0.005436, 0.005436],[0.003038, 0.003038],[0.004858, 0.004858],[0.005107, 0.005107]]"
"82","2024-10-20","[[0.006348, 0.006348],[0.005435, 0.005435],[0.003039, 0.003039],[0.004853, 0.004853],[0.005143, 0.005143]]"
"83","2024-10-21","[[0.006358, 0.006358],[0.005431, 0.005431],[0.003037, 0.003037],[0.004842, 0.004842],[0.005176, 0.005176]]"
"84","2024-10-22","[[0.006366, 0.006366],[0.005425, 0.005425],[0.003033, 0.003033],[0.004825, 0.004825],[0.005208, 0.005208]]"
"85","2024-10-23","[[0.006371, 0.006371],[0.005416, 0.005416],[0.003027, 0.003027],[0.004802, 0.004802],[0.005238, 0.005238]]"
"86","2024-10-24","[[0.006374, 0.006374],[0.005405, 0.005405],[0.003019, 0.003019],[0.004774, 0.004774],[0.005266, 0.005266]]"
"87","2024-10-25","[[0.006374, 0.006374],[0.005392, 0.005392],[0.003009, 0.003009],[0.00474, 0.00474],[0.005292, 0.005292]]"
"88","2024-10-26","[[0.006372, 0.006372],[0.005376, 0.005376],[0.002997, 0.002997],[0.0047, 0.0047],[0.005316, 0.005316]]"
"89","2024-10-27","[[0.006367, 0.006367],[0.005358, 0.005358],[0.002983, 0.002983],[0.004656, 0.004656],[0.005338, 0.005338]]"
"90","2024-10-28","[[0.00636, 0.00636],[0.005337, 0.005337],[0.002967, 0.002967],[0.004606, 0.004606],[0.005358, 0.005358]]"
"91","2024-10-29","[[0.006351, 0.006351],[0.005315, 0.005315],[0.00295, 0.00295],[0.004552, 0.004552],[0.005376, 0.005376]]"
"92","2024-10-30","[[0.006339, 0.006339],[0.005289, 0.005289],[0.00293, 0.00293],[0.004493, 0.004493],[0.005392, 0.005392]]"
"93","2024-10-31","[[0.006325, 0.006325],[0.005262, 0.005262],[0.002909, 0.002909],[0.00443, 0.00443],[0.005406, 0.005406]]"
"94","2024-11-01","[[0.006308, 0.006308],[0.005233, 0.005233],[0.002886, 0.002886],[0.004363, 0.004363],[0.005417, 0.005417]]"
"95","2024-11-02","[[0.006289, 0.006289],[0.005201, 0.005201],[0.002862, 0.002862],[0.004292, 0.004292],[0.005426, 0.005426]]"
"96","2024-11-03","[[0.006268, 0.006268],[0.005167, 0.005167],[0.002836, 0.002836],[0.004218, 0.004218],[0.005434, 0.005434]]"
