"","date","daily_vaccines"
"1","2024-07-31","[[0.048999, 0.048999],[0.039549, 0.039549],[0.013998, 0.013998],[0.006393, 0.006393],[0.037412, 0.037412]]"
"2","2024-08-01","[[0.001249, 0.001249],[0.001111, 0.001111],[0.000495, 0.000495],[0.000318, 0.000318],[0.001018, 0.001018]]"
"3","2024-08-02","[[0.001277, 0.001277],[0.001139, 0.001139],[0.000512, 0.000512],[0.000333, 0.000333],[0.001044, 0.001044]]"
"4","2024-08-03","[[0.001307, 0.001307],[0.001168, 0.001168],[0.000529, 0.000529],[0.00035, 0.00035],[0.001071, 0.001071]]"
"5","2024-08-04","[[0.001336, 0.001336],[0.001198, 0.001198],[0.000546, 0.000546],[0.000367, 0.000367],[0.001098, 0.001098]]"
"6","2024-08-05","[[0.001366, 0.001366],[0.001227, 0.001227],[0.000564, 0.000564],[0.000384, 0.000384],[0.001125, 0.001125]]"
"7","2024-08-06","[[0.001397, 0.001397],[0.001258, 0.001258],[0.000583, 0.000583],[0.000403, 0.000403],[0.001153, 0.001153]]"
"8","2024-08-07","[[0.001428, 0.001428],[0.001289, 0.001289],[0.000602, 0.000602],[0.000422, 0.000422],[0.001182, 0.001182]]"
"9","2024-08-08","[[0.00146, 0.00146],[0.00132, 0.00132],[0.000622, 0.000622],[0.000442, 0.000442],[0.001212, 0.001212]]"
"10","2024-08-09","[[0.001492, 0.001492],[0.001353, 0.001353],[0.000642, 0.000642],[0.000464, 0.000464],[0.001241, 0.001241]]"
"11","2024-08-10","[[0.001524, 0.001524],[0.001385, 0.001385],[0.000662, 0.000662],[0.000486, 0.000486],[0.001272, 0.001272]]"
"12","2024-08-11","[[0.001557, 0.001557],[0.001418, 0.001418],[0.000683, 0.000683],[0.000509, 0.000509],[0.001303, 0.001303]]"
"13","2024-08-12","[[0.001591, 0.001591],[0.001452, 0.001452],[0.000705, 0.000705],[0.000533, 0.000533],[0.001335, 0.001335]]"
"14","2024-08-13","[[0.001625, 0.001625],[0.001486, 0.001486],[0.000727, 0.000727],[0.000558, 0.000558],[0.001367, 0.001367]]"
"15","2024-08-14","[[0.001659, 0.001659],[0.001521, 0.001521],[0.00075, 0.00075],[0.000584, 0.000584],[0.0014, 0.0014]]"
"16","2024-08-15","[[0.001694, 0.001694],[0.001556, 0.001556],[0.000774, 0.000774],[0.000612, 0.000612],[0.001434, 0.001434]]"
"17","2024-08-16","[[0.001729, 0.001729],[0.001592, 0.001592],[0.000797, 0.000797],[0.00064, 0.00064],[0.001468, 0.001468]]"
"18","2024-08-17","[[0.001765, 0.001765],[0.001628, 0.001628],[0.000822, 0.000822],[0.00067, 0.00067],[0.001503, 0.001503]]"
"19","2024-08-18","[[0.001801, 0.001801],[0.001665, 0.001665],[0.000847, 0.000847],[0.000701, 0.000701],[0.001538, 0.001538]]"
"20","2024-08-19","[[0.001838, 0.001838],[0.001702, 0.001702],[0.000873, 0.000873],[0.000733, 0.000733],[0.001574, 0.001574]]"
"21","2024-08-20","[[0.001875, 0.001875],[0.00174, 0.00174],[0.000899, 0.000899],[0.000766, 0.000766],[0.001611, 0.001611]]"
"22","2024-08-21","[[0.001912, 0.001912],[0.001778, 0.001778],[0.000926, 0.000926],[0.000801, 0.000801],[0.001648, 0.001648]]"
"23","2024-08-22","[[0.00195, 0.00195],[0.001817, 0.001817],[0.000953, 0.000953],[0.000838, 0.000838],[0.001686, 0.001686]]"
"24","2024-08-23","[[0.001988, 0.001988],[0.001856, 0.001856],[0.000981, 0.000981],[0.000875, 0.000875],[0.001725, 0.001725]]"
"25","2024-08-24","[[0.002027, 0.002027],[0.001895, 0.001895],[0.001009, 0.001009],[0.000914, 0.000914],[0.001764, 0.001764]]"
"26","2024-08-25","[[0.002066, 0.002066],[0.001935, 0.001935],[0.001038, 0.001038],[0.000955, 0.000955],[0.001803, 0.001803]]"
"27","2024-08-26","[[0.002105, 0.002105],[0.001975, 0.001975],[0.001068, 0.001068],[0.000997, 0.000997],[0.001844, 0.001844]]"
"28","2024-08-27","[[0.002144, 0.002144],[0.002015, 0.002015],[0.001098, 0.001098],[0.001041, 0.001041],[0.001885, 0.001885]]"
"29","2024-08-28","[[0.002184, 0.002184],[0.002056, 0.002056],[0.001129, 0.001129],[0.001086, 0.001086],[0.001926, 0.001926]]"
"30","2024-08-29","[[0.002224, 0.002224],[0.002097, 0.002097],[0.00116, 0.00116],[0.001133, 0.001133],[0.001968, 0.001968]]"
"31","2024-08-30","[[0.002264, 0.002264],[0.002138, 0.002138],[0.001191, 0.001191],[0.001181, 0.001181],[0.002011, 0.002011]]"
"32","2024-08-31","[[0.002304, 0.002304],[0.00218, 0.00218],[0.001223, 0.001223],[0.001231, 0.001231],[0.002054, 0.002054]]"
"33","2024-09-01","[[0.002345, 0.002345],[0.002221, 0.002221],[0.001256, 0.001256],[0.001283, 0.001283],[0.002098, 0.002098]]"
"34","2024-09-02","[[0.002386, 0.002386],[0.002263, 0.002263],[0.001289, 0.001289],[0.001337, 0.001337],[0.002142, 0.002142]]"
"35","2024-09-03","[[0.002427, 0.002427],[0.002305, 0.002305],[0.001322, 0.001322],[0.001392, 0.001392],[0.002187, 0.002187]]"
"36","2024-09-04","[[0.002468, 0.002468],[0.002347, 0.002347],[0.001356, 0.001356],[0.001448, 0.001448],[0.002232, 0.002232]]"
"37","2024-09-05","[[0.002509, 0.002509],[0.002389, 0.002389],[0.00139, 0.00139],[0.001507, 0.001507],[0.002278, 0.002278]]"
"38","2024-09-06","[[0.00255, 0.00255],[0.002431, 0.002431],[0.001425, 0.001425],[0.001567, 0.001567],[0.002324, 0.002324]]"
"39","2024-09-07","[[0.002591, 0.002591],[0.002473, 0.002473],[0.00146, 0.00146],[0.001629, 0.001629],[0.002371, 0.002371]]"
"40","2024-09-08","[[0.002633, 0.002633],[0.002515, 0.002515],[0.001495, 0.001495],[0.001692, 0.001692],[0.002418, 0.002418]]"
"41","2024-09-09","[[0.002674, 0.002674],[0.002557, 0.002557],[0.00153, 0.00153],[0.001757, 0.001757],[0.002465, 0.002465]]"
"42","2024-09-10","[[0.002715, 0.002715],[0.002599, 0.002599],[0.001565, 0.001565],[0.001823, 0.001823],[0.002513, 0.002513]]"
"43","2024-09-11","[[0.002756, 0.002756],[0.00264, 0.00264],[0.001601, 0.001601],[0.001891, 0.001891],[0.002561, 0.002561]]"
"44","2024-09-12","[[0.002797, 0.002797],[0.002682, 0.002682],[0.001637, 0.001637],[0.00196, 0.00196],[0.00261, 0.00261]]"
"45","2024-09-13","[[0.002838, 0.002838],[0.002723, 0.002723],[0.001673, 0.001673],[0.00203, 0.00203],[0.002659, 0.002659]]"
"46","2024-09-14","[[0.002878, 0.002878],[0.002764, 0.002764],[0.001709, 0.001709],[0.002102, 0.002102],[0.002708, 0.002708]]"
"47","2024-09-15","[[0.002918, 0.002918],[0.002804, 0.002804],[0.001745, 0.001745],[0.002175, 0.002175],[0.002757, 0.002757]]"
"48","2024-09-16","[[0.002958, 0.002958],[0.002844, 0.002844],[0.00178, 0.00178],[0.002249, 0.002249],[0.002807, 0.002807]]"
"49","2024-09-17","[[0.002998, 0.002998],[0.002884, 0.002884],[0.001816, 0.001816],[0.002324, 0.002324],[0.002857, 0.002857]]"
"50","2024-09-18","[[0.003037, 0.003037],[0.002922, 0.002922],[0.001852, 0.001852],[0.0024, 0.0024],[0.002906, 0.002906]]"
"51","2024-09-19","[[0.003076, 0.003076],[0.002961, 0.002961],[0.001887, 0.001887],[0.002476, 0.002476],[0.002956, 0.002956]]"
"52","2024-09-20","[[0.003115, 0.003115],[0.002999, 0.002999],[0.001922, 0.001922],[0.002553, 0.002553],[0.003006, 0.003006]]"
"53","2024-09-21","[[0.003153, 0.003153],[0.003036, 0.003036],[0.001957, 0.001957],[0.00263, 0.00263],[0.003057, 0.003057]]"
"54","2024-09-22","[[0.00319, 0.00319],[0.003072, 0.003072],[0.001991, 0.001991],[0.002708, 0.002708],[0.003107, 0.003107]]"
"55","2024-09-23","[[0.003227, 0.003227],[0.003108, 0.003108],[0.002025, 0.002025],[0.002785, 0.002785],[0.003157, 0.003157]]"
"56","2024-09-24","[[0.003263, 0.003263],[0.003143, 0.003143],[0.002058, 0.002058],[0.002863, 0.002863],[0.003206, 0.003206]]"
"57","2024-09-25","[[0.003299, 0.003299],[0.003177, 0.003177],[0.002091, 0.002091],[0.00294, 0.00294],[0.003256, 0.003256]]"
"58","2024-09-26","[[0.003334, 0.003334],[0.00321, 0.00321],[0.002123, 0.002123],[0.003016, 0.003016],[0.003306, 0.003306]]"
"59","2024-09-27","[[0.003368, 0.003368],[0.003242, 0.003242],[0.002154, 0.002154],[0.003092, 0.003092],[0.003355, 0.003355]]"
"60","2024-09-28","[[0.003401, 0.003401],[0.003273, 0.003273],[0.002184, 0.002184],[0.003166, 0.003166],[0.003404, 0.003404]]"
"61","2024-09-29","[[0.003434, 0.003434],[0.003303, 0.003303],[0.002214, 0.002214],[0.003239, 0.003239],[0.003453, 0.003453]]"
"62","2024-09-30","[[0.003466, 0.003466],[0.003332, 0.003332],[0.002243, 0.002243],[0.003311, 0.003311],[0.003501, 0.003501]]"
"63","2024-10-01","[[0.003496, 0.003496],[0.003359, 0.003359],[0.002271, 0.002271],[0.00338, 0.00338],[0.003549, 0.003549]]"
"64","2024-10-02","[[0.003526, 0.003526],[0.003386, 0.003386],[0.002297, 0.002297],[0.003448, 0.003448],[0.003596, 0.003596]]"
"65","2024-10-03","[[0.003555, 0.003555],[0.003411, 0.003411],[0.002323, 0.002323],[0.003514, 0.003514],[0.003643, 0.003643]]"
"66","2024-10-04","[[0.003583, 0.003583],[0.003435, 0.003435],[0.002348, 0.002348],[0.003577, 0.003577],[0.00369, 0.00369]]"
"67","2024-10-05","[[0.00361, 0.00361],[0.003457, 0.003457],[0.002371, 0.002371],[0.003637, 0.003637],[0.003735, 0.003735]]"
"68","2024-10-06","[[0.003636, 0.003636],[0.003479, 0.003479],[0.002393, 0.002393],[0.003694, 0.003694],[0.00378, 0.00378]]"
"69","2024-10-07","[[0.00366, 0.00366],[0.003498, 0.003498],[0.002414, 0.002414],[0.003747, 0.003747],[0.003824, 0.003824]]"
"70","2024-10-08","[[0.003684, 0.003684],[0.003517, 0.003517],[0.002433, 0.002433],[0.003798, 0.003798],[0.003868, 0.003868]]"
"71","2024-10-09","[[0.003706, 0.003706],[0.003534, 0.003534],[0.002451, 0.002451],[0.003844, 0.003844],[0.00391, 0.00391]]"
"72","2024-10-10","[[0.003727, 0.003727],[0.003549, 0.003549],[0.002467, 0.002467],[0.003887, 0.003887],[0.003952, 0.003952]]"
"73","2024-10-11","[[0.003747, 0.003747],[0.003563, 0.003563],[0.002482, 0.002482],[0.003925, 0.003925],[0.003992, 0.003992]]"
