"","date","daily_vaccines"
"1","2024-07-31","[[0.05188, 0.05188],[0.038844, 0.038844],[0.011231, 0.011231],[0.006883, 0.006883],[0.033942, 0.033942]]"
"2","2024-08-01","[[0.001322, 0.001322],[0.001091, 0.001091],[0.000397, 0.000397],[0.000342, 0.000342],[0.000924, 0.000924]]"
"3","2024-08-02","[[0.001352, 0.001352],[0.001119, 0.001119],[0.000411, 0.000411],[0.000359, 0.000359],[0.000947, 0.000947]]"
"4","2024-08-03","[[0.001383, 0.001383],[0.001147, 0.001147],[0.000424, 0.000424],[0.000377, 0.000377],[0.000971, 0.000971]]"
"5","2024-08-04","[[0.001415, 0.001415],[0.001176, 0.001176],[0.000438, 0.000438],[0.000395, 0.000395],[0.000996, 0.000996]]"
"6","2024-08-05","[[0.001446, 0.001446],[0.001206, 0.001206],[0.000453, 0.000453],[0.000414, 0.000414],[0.001021, 0.001021]]"
"7","2024-08-06","[[0.001479, 0.001479],[0.001235, 0.001235],[0.000468, 0.000468],[0.000434, 0.000434],[0.001046, 0.001046]]"
"8","2024-08-07","[[0.001512, 0.001512],[0.001266, 0.001266],[0.000483, 0.000483],[0.000455, 0.000455],[0.001072, 0.001072]]"
"9","2024-08-08","[[0.001545, 0.001545],[0.001297, 0.001297],[0.000498, 0.000498],[0.000476, 0.000476],[0.001099, 0.001099]]"
"10","2024-08-09","[[0.001579, 0.001579],[0.001328, 0.001328],[0.000515, 0.000515],[0.000499, 0.000499],[0.001126, 0.001126]]"
"11","2024-08-10","[[0.001613, 0.001613],[0.00136, 0.00136],[0.000531, 0.000531],[0.000523, 0.000523],[0.001154, 0.001154]]"
"12","2024-08-11","[[0.001648, 0.001648],[0.001393, 0.001393],[0.000548, 0.000548],[0.000548, 0.000548],[0.001182, 0.001182]]"
"13","2024-08-12","[[0.001684, 0.001684],[0.001426, 0.001426],[0.000565, 0.000565],[0.000574, 0.000574],[0.001211, 0.001211]]"
"14","2024-08-13","[[0.00172, 0.00172],[0.00146, 0.00146],[0.000583, 0.000583],[0.000601, 0.000601],[0.00124, 0.00124]]"
"15","2024-08-14","[[0.001756, 0.001756],[0.001494, 0.001494],[0.000602, 0.000602],[0.000629, 0.000629],[0.00127, 0.00127]]"
"16","2024-08-15","[[0.001793, 0.001793],[0.001529, 0.001529],[0.00062, 0.00062],[0.000659, 0.000659],[0.001301, 0.001301]]"
"17","2024-08-16","[[0.001831, 0.001831],[0.001564, 0.001564],[0.00064, 0.00064],[0.000689, 0.000689],[0.001332, 0.001332]]"
"18","2024-08-17","[[0.001868, 0.001868],[0.001599, 0.001599],[0.000659, 0.000659],[0.000721, 0.000721],[0.001363, 0.001363]]"
"19","2024-08-18","[[0.001907, 0.001907],[0.001635, 0.001635],[0.000679, 0.000679],[0.000755, 0.000755],[0.001395, 0.001395]]"
"20","2024-08-19","[[0.001945, 0.001945],[0.001672, 0.001672],[0.0007, 0.0007],[0.000789, 0.000789],[0.001428, 0.001428]]"
"21","2024-08-20","[[0.001985, 0.001985],[0.001709, 0.001709],[0.000721, 0.000721],[0.000826, 0.000826],[0.001461, 0.001461]]"
"22","2024-08-21","[[0.002024, 0.002024],[0.001746, 0.001746],[0.000742, 0.000742],[0.000863, 0.000863],[0.001495, 0.001495]]"
"23","2024-08-22","[[0.002064, 0.002064],[0.001784, 0.001784],[0.000764, 0.000764],[0.000902, 0.000902],[0.001529, 0.001529]]"
"24","2024-08-23","[[0.002104, 0.002104],[0.001823, 0.001823],[0.000787, 0.000787],[0.000943, 0.000943],[0.001564, 0.001564]]"
"25","2024-08-24","[[0.002145, 0.002145],[0.001861, 0.001861],[0.000809, 0.000809],[0.000985, 0.000985],[0.0016, 0.0016]]"
"26","2024-08-25","[[0.002186, 0.002186],[0.0019, 0.0019],[0.000833, 0.000833],[0.001029, 0.001029],[0.001636, 0.001636]]"
"27","2024-08-26","[[0.002228, 0.002228],[0.00194, 0.00194],[0.000856, 0.000856],[0.001074, 0.001074],[0.001672, 0.001672]]"
"28","2024-08-27","[[0.00227, 0.00227],[0.001979, 0.001979],[0.000881, 0.000881],[0.001121, 0.001121],[0.001709, 0.001709]]"
"29","2024-08-28","[[0.002312, 0.002312],[0.002019, 0.002019],[0.000905, 0.000905],[0.00117, 0.00117],[0.001747, 0.001747]]"
"30","2024-08-29","[[0.002354, 0.002354],[0.002059, 0.002059],[0.00093, 0.00093],[0.00122, 0.00122],[0.001785, 0.001785]]"
"31","2024-08-30","[[0.002396, 0.002396],[0.0021, 0.0021],[0.000955, 0.000955],[0.001273, 0.001273],[0.001824, 0.001824]]"
"32","2024-08-31","[[0.002439, 0.002439],[0.002141, 0.002141],[0.000981, 0.000981],[0.001327, 0.001327],[0.001863, 0.001863]]"
"33","2024-09-01","[[0.002482, 0.002482],[0.002182, 0.002182],[0.001007, 0.001007],[0.001382, 0.001382],[0.001903, 0.001903]]"
"34","2024-09-02","[[0.002525, 0.002525],[0.002223, 0.002223],[0.001034, 0.001034],[0.00144, 0.00144],[0.001943, 0.001943]]"
"35","2024-09-03","[[0.002569, 0.002569],[0.002264, 0.002264],[0.00106, 0.00106],[0.001499, 0.001499],[0.001983, 0.001983]]"
"36","2024-09-04","[[0.002612, 0.002612],[0.002305, 0.002305],[0.001087, 0.001087],[0.001561, 0.001561],[0.002024, 0.002024]]"
"37","2024-09-05","[[0.002656, 0.002656],[0.002346, 0.002346],[0.001115, 0.001115],[0.001623, 0.001623],[0.002066, 0.002066]]"
"38","2024-09-06","[[0.002699, 0.002699],[0.002388, 0.002388],[0.001142, 0.001142],[0.001688, 0.001688],[0.002108, 0.002108]]"
"39","2024-09-07","[[0.002743, 0.002743],[0.002429, 0.002429],[0.00117, 0.00117],[0.001755, 0.001755],[0.00215, 0.00215]]"
"40","2024-09-08","[[0.002787, 0.002787],[0.00247, 0.00247],[0.001198, 0.001198],[0.001823, 0.001823],[0.002193, 0.002193]]"
"41","2024-09-09","[[0.00283, 0.00283],[0.002511, 0.002511],[0.001227, 0.001227],[0.001893, 0.001893],[0.002236, 0.002236]]"
"42","2024-09-10","[[0.002874, 0.002874],[0.002552, 0.002552],[0.001255, 0.001255],[0.001964, 0.001964],[0.002279, 0.002279]]"
"43","2024-09-11","[[0.002917, 0.002917],[0.002593, 0.002593],[0.001284, 0.001284],[0.002037, 0.002037],[0.002323, 0.002323]]"
"44","2024-09-12","[[0.00296, 0.00296],[0.002634, 0.002634],[0.001312, 0.001312],[0.002112, 0.002112],[0.002367, 0.002367]]"
"45","2024-09-13","[[0.003003, 0.003003],[0.002674, 0.002674],[0.001341, 0.001341],[0.002188, 0.002188],[0.002411, 0.002411]]"
"46","2024-09-14","[[0.003046, 0.003046],[0.002714, 0.002714],[0.00137, 0.00137],[0.002265, 0.002265],[0.002456, 0.002456]]"
"47","2024-09-15","[[0.003089, 0.003089],[0.002754, 0.002754],[0.001399, 0.001399],[0.002344, 0.002344],[0.002501, 0.002501]]"
"48","2024-09-16","[[0.003131, 0.003131],[0.002793, 0.002793],[0.001427, 0.001427],[0.002424, 0.002424],[0.002546, 0.002546]]"
"49","2024-09-17","[[0.003173, 0.003173],[0.002832, 0.002832],[0.001456, 0.001456],[0.002504, 0.002504],[0.002591, 0.002591]]"
"50","2024-09-18","[[0.003215, 0.003215],[0.00287, 0.00287],[0.001484, 0.001484],[0.002586, 0.002586],[0.002636, 0.002636]]"
"51","2024-09-19","[[0.003256, 0.003256],[0.002908, 0.002908],[0.001513, 0.001513],[0.002668, 0.002668],[0.002681, 0.002681]]"
"52","2024-09-20","[[0.003296, 0.003296],[0.002945, 0.002945],[0.001541, 0.001541],[0.002751, 0.002751],[0.002727, 0.002727]]"
"53","2024-09-21","[[0.003337, 0.003337],[0.002982, 0.002982],[0.001569, 0.001569],[0.002835, 0.002835],[0.002772, 0.002772]]"
"54","2024-09-22","[[0.003376, 0.003376],[0.003017, 0.003017],[0.001596, 0.001596],[0.002918, 0.002918],[0.002817, 0.002817]]"
"55","2024-09-23","[[0.003415, 0.003415],[0.003052, 0.003052],[0.001623, 0.001623],[0.003002, 0.003002],[0.002863, 0.002863]]"
"56","2024-09-24","[[0.003454, 0.003454],[0.003087, 0.003087],[0.00165, 0.00165],[0.003085, 0.003085],[0.002908, 0.002908]]"
"57","2024-09-25","[[0.003491, 0.003491],[0.00312, 0.00312],[0.001676, 0.001676],[0.003168, 0.003168],[0.002953, 0.002953]]"
